country,latDem,Dem,Index,colour,pval,tau,ips_ss_val,sa_ss_val,ips_work,ips_trsm,ips_study,ips_fam,ips_mar,ips_sch,ips_med,ips_trans,ips_sprt,sa_work,sa_trsm,sa_study,sa_fam,sa_mar,sa_sch,sa_med,sa_trans,sa_sprt,ips_work_val,ips_trsm_val,ips_study_val,ips_fam_val,ips_mar_val,ips_sch_val,ips_med_val,ips_trans_val,ips_sprt_val,sa_work_val,sa_trsm_val,sa_study_val,sa_fam_val,sa_mar_val,sa_sch_val,sa_med_val,sa_trans_val,sa_sprt_val,DemandPop,LatDemPop,ips_work_val_perc,ips_trsm_val_perc,ips_study_val_perc,ips_fam_val_perc,ips_mar_val_perc,ips_sch_val_perc,ips_med_val_perc,ips_trans_val_perc,ips_sprt_val_perc,sa_work_val_perc,sa_trsm_val_perc,sa_study_val_perc,sa_fam_val_perc,sa_mar_val_perc,sa_sch_val_perc,sa_med_val_perc,sa_trans_val_perc,sa_sprt_val_perc
Somalia,47,15,67,#b3adaa,0.034,0.73,5,3,2,3,4,1,5,6,7,8,9,3,2,4,1,5,6,7,8,9,0,0,0,5,0,0,0,0,0,0,1,0,2,0,0,0,0,0,Family,Family,0,0,0,100,0,0,0,0,0,0,33.33,0,66.67,0,0,0,0,0
Uzbekistan,46,38,68,#b3adaa,0.083,0.59,7,2,2,1,3,4,7,8,9,5,6,2,1,3,4,5,6,7,8,9,1,2,1,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,Tourism,Tourism,14.29,28.57,14.29,14.29,0,0,0,14.29,14.29,0,100,0,0,0,0,0,0,0
Chile,45,58,69,#b3adaa,0.031,0.69,34,3,2,1,4,3,6,7,8,5,9,1,2,3,4,5,6,7,8,9,9,15,3,5,0,0,0,2,0,1,1,1,0,0,0,0,0,0,Tourism,Work,26.47,44.12,8.82,14.71,0,0,0,5.88,0,33.33,33.33,33.33,0,0,0,0,0,0
Ethiopia,44,30,70,#b3adaa,0.011,0.85,9,3,1,3,5,2,6,7,8,4,9,1,2,4,3,5,6,7,8,9,3,2,0,3,0,0,0,1,0,1,1,0,1,0,0,0,0,0,Work,Work,33.33,22.22,0,33.33,0,0,0,11.11,0,33.33,33.33,0,33.33,0,0,0,0,0
Libya,43,43,71,#b3adaa,0.43,-0.27,4,4,3,4,5,1,6,7,2,8,9,3,2,1,4,5,6,7,8,9,0,0,0,3,0,0,1,0,0,0,1,3,0,0,0,0,0,0,Family,Study,0,0,0,75,0,0,25,0,0,0,25,75,0,0,0,0,0,0
Malawi,42,23,72,#b3adaa,0.49,0.23,5,3,2,3,4,1,5,6,7,8,9,3,4,1,2,5,6,7,8,9,1,1,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,Family,Study,20,20,0,60,0,0,0,0,0,0,0,66.67,33.33,0,0,0,0,0
Zimbabwe,41,45,73,#b3adaa,0.032,0.76,17,2,3,1,6,2,7,8,9,4,5,3,1,4,2,5,6,7,9,8,3,5,0,5,0,0,0,2,2,0,1,0,1,0,0,0,0,0,Tourism,Tourism,17.65,29.41,0,29.41,0,0,0,11.76,11.76,0,50,0,50,0,0,0,0,0
Denmark,40,99,74,#00A3E0,0,0,844,0,2,1,6,3,7,8,9,4,5,1,2,3,4,5,6,7,8,9,288,331,7,131,0,0,0,49,38,0,0,0,0,0,0,0,0,0,Tourism,Work,34.12,39.22,0.83,15.52,0,0,0,5.81,4.5,0,0,0,0,0,0,0,0,0
Spain,39,106,75,#00A3E0,0,0,1494,0,3,1,5,2,8,7,9,4,6,1,2,3,4,5,6,7,8,9,312,677,60,342,0,1,0,89,13,0,0,0,0,0,0,0,0,0,Tourism,Work,20.88,45.31,4.02,22.89,0,0.07,0,5.96,0.87,0,0,0,0,0,0,0,0,0
United Arab Emirates,38,88,76,#95C7EC,0.12,0.48,128,3,3,1,5,2,8,9,4,6,7,2,1,3,4,5,6,7,8,9,16,68,6,26,0,0,7,3,2,0,3,0,0,0,0,0,0,0,Tourism,Tourism,12.5,53.12,4.69,20.31,0,0,5.47,2.34,1.56,0,100,0,0,0,0,0,0,0
Tunisia,37,40,77,#b3adaa,0.038,0.67,10,3,1,2,5,3,6,7,8,4,9,2,1,3,4,5,6,7,8,9,5,3,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,Work,Tourism,50,30,0,10,0,0,0,10,0,33.33,66.67,0,0,0,0,0,0,0
Fiji,36,7,78,#b3adaa,0.13,0.55,7,1,1,2,4,3,5,6,7,8,9,2,1,3,4,5,6,7,9,8,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Work,Tourism,42.86,42.86,0,14.29,0,0,0,0,0,0,100,0,0,0,0,0,0,0
Yemen,35,12,79,#b3adaa,0.091,0.6,4,2,1,2,5,6,7,8,3,4,9,1,2,3,4,5,6,7,8,9,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,Work,Work,25,25,0,0,0,0,25,25,0,50,50,0,0,0,0,0,0,0
Austria,34,91,80,#00A3E0,0,0,377,0,2,1,6,3,7,8,9,4,5,1,2,3,4,5,6,7,8,9,103,176,9,54,0,0,0,24,11,0,0,0,0,0,0,0,0,0,Tourism,Work,27.32,46.68,2.39,14.32,0,0,0,6.37,2.92,0,0,0,0,0,0,0,0,0
Croatia,33,63,81,#95C7EC,0,0,58,0,1,2,6,3,7,8,9,4,5,1,2,3,4,5,6,7,8,9,21,15,0,12,0,0,0,9,1,0,0,0,0,0,0,0,0,0,Work,Work,36.21,25.86,0,20.69,0,0,0,15.52,1.72,0,0,0,0,0,0,0,0,0
Cyprus,32,71,82,#95C7EC,0,0,107,0,3,2,4,1,8,9,5,6,7,1,2,3,4,5,6,7,8,9,16,27,5,52,1,0,2,2,2,0,0,0,0,0,0,0,0,0,Family,Work,14.95,25.23,4.67,48.6,0.93,0,1.87,1.87,1.87,0,0,0,0,0,0,0,0,0
Hungary,31,94,83,#00A3E0,0,0,324,0,1,3,5,2,8,9,7,4,6,1,2,3,4,5,6,7,8,9,129,66,8,91,0,0,1,22,7,0,0,0,0,0,0,0,0,0,Work,Work,39.81,20.37,2.47,28.09,0,0,0.31,6.79,2.16,0,0,0,0,0,0,0,0,0
Ireland,30,110,84,#00A3E0,0,0,2887,0,3,2,6,1,8,9,7,4,5,1,2,3,4,5,6,7,8,9,537,768,9,857,0,0,9,473,234,0,0,0,0,0,0,0,0,0,Family,Work,18.6,26.6,0.31,29.68,0,0,0.31,16.38,8.11,0,0,0,0,0,0,0,0,0
Kuwait,29,76,85,#95C7EC,0.11,0.52,113,2,4,1,6,2,7,8,5,3,9,2,1,3,4,5,6,7,8,9,6,81,0,14,0,0,3,9,0,0,2,0,0,0,0,0,0,0,Tourism,Tourism,5.31,71.68,0,12.39,0,0,2.65,7.96,0,0,100,0,0,0,0,0,0,0
Netherlands,28,109,86,#00A3E0,0,0,2245,0,2,1,6,3,7,8,9,5,4,1,2,3,4,5,6,7,8,9,630,1041,11,403,1,0,0,76,83,0,0,0,0,0,0,0,0,0,Tourism,Work,28.06,46.37,0.49,17.95,0.04,0,0,3.39,3.7,0,0,0,0,0,0,0,0,0
Portugal,27,90,87,#00A3E0,0,0,405,0,3,2,5,1,8,9,7,4,6,1,2,3,4,5,6,7,8,9,102,109,8,118,0,0,1,63,4,0,0,0,0,0,0,0,0,0,Family,Work,25.19,26.91,1.98,29.14,0,0,0.25,15.56,0.99,0,0,0,0,0,0,0,0,0
Slovenia,26,66,88,#95C7EC,0,0,60,0,1,2,6,3,7,8,9,4,5,1,2,3,4,5,6,7,8,9,20,20,0,13,0,0,0,5,2,0,0,0,0,0,0,0,0,0,Work,Work,33.33,33.33,0,21.67,0,0,0,8.33,3.33,0,0,0,0,0,0,0,0,0
"Bolivia, Plurinational State of",25,10,89,#b3adaa,0.72,-0.12,1,2,2,3,4,1,5,6,7,8,9,2,1,3,4,5,6,7,8,9,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Family,Tourism,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0
Guinea,24,8,90,#b3adaa,0.061,0.66,2,1,3,1,4,5,6,7,8,2,9,2,1,3,4,5,6,7,8,9,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Tourism,Tourism,0,50,0,0,0,0,0,50,0,0,100,0,0,0,0,0,0,0
Kyrgyzstan,23,6,91,#b3adaa,0.72,-0.12,1,1,2,3,4,5,6,7,8,1,9,2,1,3,4,5,6,7,8,9,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Transit,Tourism,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0
"Macedonia, the former Yugoslav Republic of",22,42,92,#b3adaa,0.38,0.29,8,2,1,4,5,2,6,7,8,3,9,1,3,2,4,5,6,7,8,9,4,0,0,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Work,Work,50,0,0,37.5,0,0,0,12.5,0,50,0,50,0,0,0,0,0,0
Mauritius,21,53,93,#b3adaa,0.2,0.42,46,2,4,2,5,1,6,7,8,3,9,2,1,3,4,5,6,7,8,9,7,10,0,21,0,0,0,8,0,0,2,0,0,0,0,0,0,0,Family,Tourism,15.22,21.74,0,45.65,0,0,0,17.39,0,0,100,0,0,0,0,0,0,0
Mongolia,20,20,94,#b3adaa,0.72,-0.12,1,1,1,2,3,4,5,6,7,8,9,2,1,3,4,5,6,7,8,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Work,Tourism,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
Oman,19,97,95,#00A3E0,0.43,0.25,387,1,1,3,5,2,7,8,6,4,9,2,1,3,4,5,6,7,8,9,153,68,8,113,0,0,1,44,0,0,1,0,0,0,0,0,0,0,Work,Tourism,39.53,17.57,2.07,29.2,0,0,0.26,11.37,0,0,100,0,0,0,0,0,0,0
Samoa,18,5,96,#b3adaa,0,0,1,1,2,3,4,5,6,7,8,1,9,2,3,1,4,5,6,7,9,8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Transit,Study,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0
Andorra,17,14,97,#b3adaa,0.061,0.66,2,1,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Work,Work,50,50,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Armenia,16,25,98,#b3adaa,0.034,0.73,7,1,3,1,4,2,5,6,7,8,9,2,1,3,4,5,6,7,8,9,0,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Tourism,Tourism,0,85.71,0,14.29,0,0,0,0,0,0,100,0,0,0,0,0,0,0
Aruba,15,11,99,#b3adaa,0,0,1,0,2,1,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tourism,Work,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,14,4,100,#b3adaa,0,0,0,1,1,2,3,4,5,6,7,8,9,2,1,3,4,5,6,7,8,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Work,Tourism,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
Bulgaria,13,80,101,#95C7EC,0,0,177,0,1,3,5,2,7,8,9,4,6,1,2,3,4,5,6,7,8,9,77,36,2,46,0,0,0,15,1,0,0,0,0,0,0,0,0,0,Work,Work,43.5,20.34,1.13,25.99,0,0,0,8.47,0.56,0,0,0,0,0,0,0,0,0
Myanmar,12,24,102,#b3adaa,0.59,-0.19,2,1,1,3,4,2,5,6,7,8,9,2,3,4,5,6,7,8,1,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Work,Transit,50,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,100,0
Congo,11,13,103,#b3adaa,0.72,-0.12,1,1,2,3,4,1,5,6,7,8,9,2,1,3,4,5,6,7,8,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Family,Tourism,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0
Cuba,10,29,104,#b3adaa,0.72,-0.12,4,1,1,2,3,4,5,6,7,8,9,2,1,3,4,5,6,7,8,9,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Work,Tourism,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
Guatemala,9,28,105,#b3adaa,0,0,6,0,1,2,5,3,6,7,8,4,9,1,2,3,4,5,6,7,8,9,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Work,Work,33.33,33.33,0,16.67,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0
Malta,8,72,106,#95C7EC,0,0,111,0,2,1,7,3,8,9,5,4,6,1,2,3,4,5,6,7,8,9,24,40,1,23,0,0,4,15,4,0,0,0,0,0,0,0,0,0,Tourism,Work,21.62,36.04,0.9,20.72,0,0,3.6,13.51,3.6,0,0,0,0,0,0,0,0,0
Namibia,7,26,107,#b3adaa,0.49,-0.23,6,1,3,4,5,1,6,7,8,2,9,2,1,3,4,5,6,7,8,9,1,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,Family,Tourism,16.67,0,0,50,0,0,0,33.33,0,0,100,0,0,0,0,0,0,0
Nepal,6,46,108,#b3adaa,0,0,13,0,3,2,6,1,7,8,9,4,5,1,2,3,4,5,6,7,8,9,2,3,0,5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,Family,Work,15.38,23.08,0,38.46,0,0,0,15.38,7.69,0,0,0,0,0,0,0,0,0
Romania,5,96,109,#00A3E0,0,0,361,0,1,3,5,2,7,8,6,4,9,1,2,3,4,5,6,7,8,9,140,60,5,112,0,0,1,43,0,0,0,0,0,0,0,0,0,0,Work,Work,38.78,16.62,1.39,31.02,0,0,0.28,11.91,0,0,0,0,0,0,0,0,0,0
Senegal,4,16,110,#b3adaa,0.11,0.55,3,1,1,2,3,4,5,6,7,8,9,2,1,3,4,5,6,7,8,9,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Work,Tourism,66.67,33.33,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
Sweden,3,102,111,#00A3E0,0,0,1337,0,2,1,6,3,8,9,7,4,5,1,2,3,4,5,6,7,8,9,367,573,8,243,0,0,2,87,57,0,0,0,0,0,0,0,0,0,Tourism,Work,27.45,42.86,0.6,18.18,0,0,0.15,6.51,4.26,0,0,0,0,0,0,0,0,0
Italy,2,107,112,#00A3E0,0,0,1834,0,2,1,5,3,7,8,9,4,6,1,2,3,4,5,6,7,8,9,470,842,81,316,0,0,0,98,27,0,0,0,0,0,0,0,0,0,Tourism,Work,25.63,45.91,4.42,17.23,0,0,0,5.34,1.47,0,0,0,0,0,0,0,0,0
El Salvador,1,17,113,#b3adaa,0.061,0.66,2,1,3,1,4,2,5,6,7,8,9,2,1,3,4,5,6,7,8,9,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Tourism,Tourism,0,50,0,50,0,0,0,0,0,0,100,0,0,0,0,0,0,0
Anguilla,0,0,114,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aland Islands,0,0,115,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,0,0,116,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica,0,0,117,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Southern Territories,0,0,118,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,119,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,0,0,120,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,0,0,121,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,0,0,122,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,0,0,123,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,0,0,124,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas,0,0,125,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Barthelemy,0,0,126,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,0,0,127,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,0,0,128,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam,0,0,129,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,0,0,130,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,0,0,131,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,0,0,132,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Congo, the Democratic Republic of the",0,0,133,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands,0,0,134,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,0,0,135,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde,0,0,136,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,0,0,137,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curaê_ao,0,0,138,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands,0,0,139,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Cyprus,0,0,140,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,0,0,141,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,0,0,142,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,0,0,143,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,144,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,0,0,145,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0,0,146,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,147,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas),0,0,148,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franch Guyana,0,0,149,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,0,0,150,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micronesia, Federated States of",0,0,151,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,0,0,152,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,153,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,0,0,154,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey,0,0,155,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia,0,0,156,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,0,0,157,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,0,0,158,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0,0,159,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,0,0,160,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland,0,0,161,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,0,0,162,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heard Island and McDonald Islands,0,0,163,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0,0,164,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,0,0,165,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man,0,0,166,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cocos Islands,0,0,167,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christmas Island,0,0,168,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Indian Ocean Territory,0,0,169,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,170,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey,0,0,171,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siachen Glacier,0,0,172,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,0,0,173,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati,0,0,174,#d3d3d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
