country,latDem,Dem,Index,colour,pval,tau,ips_ss_val,sa_ss_val,ips_work,ips_trsm,ips_study,ips_fam,ips_mar,ips_sch,ips_med,ips_trans,ips_sprt,sa_work,sa_trsm,sa_study,sa_fam,sa_mar,sa_sch,sa_med,sa_trans,sa_sprt,ips_work_val,ips_trsm_val,ips_study_val,ips_fam_val,ips_mar_val,ips_sch_val,ips_med_val,ips_trans_val,ips_sprt_val,sa_work_val,sa_trsm_val,sa_study_val,sa_fam_val,sa_mar_val,sa_sch_val,sa_med_val,sa_trans_val,sa_sprt_val,DemandPop,LatDemPop,ips_work_val_perc,ips_trsm_val_perc,ips_study_val_perc,ips_fam_val_perc,ips_mar_val_perc,ips_sch_val_perc,ips_med_val_perc,ips_trans_val_perc,ips_sprt_val_perc,sa_work_val_perc,sa_trsm_val_perc,sa_study_val_perc,sa_fam_val_perc,sa_mar_val_perc,sa_sch_val_perc,sa_med_val_perc,sa_trans_val_perc,sa_sprt_val_perc
"Venezuela, Bolivarian Republic of",97,50,17,#dc649b,0.021,0.69,23,30,3,1,5,2,6,7,8,4,9,3,1,4,5,6,7,8,2,9,2,13,0,6,0,0,0,2,0,5,13,3,1,0,0,0,8,0,Tourism,Tourism,8.7,56.52,0,26.09,0,0,0,8.7,0,16.67,43.33,10,3.33,0,0,0,26.67,0
Egypt,96,73,18,#a35d97,0.026,0.64,129,24,1,2,5,3,7,8,6,4,9,3,1,6,2,5,7,8,4,9,44,41,5,23,0,0,1,15,0,5,8,0,7,1,0,0,3,0,Work,Tourism,34.11,31.78,3.88,17.83,0,0,0.78,11.63,0,20.83,33.33,0,29.17,4.17,0,0,12.5,0
Saudi Arabia,95,79,19,#a35d97,0.032,0.64,168,21,2,1,5,3,8,9,6,4,7,2,1,3,4,5,6,7,8,9,26,96,7,25,0,0,1,12,1,3,16,2,0,0,0,0,0,0,Tourism,Tourism,15.48,57.14,4.17,14.88,0,0,0.6,7.14,0.6,14.29,76.19,9.52,0,0,0,0,0,0
Colombia,94,59,20,#dc649b,0.011,0.76,30,25,3,1,4,2,6,7,8,5,9,2,1,5,4,6,7,8,3,9,7,13,1,8,0,0,0,1,0,5,15,0,1,0,0,0,4,0,Tourism,Tourism,23.33,43.33,3.33,26.67,0,0,0,3.33,0,20,60,0,4,0,0,0,16,0
Ghana,93,67,21,#a35d97,0.013,0.74,44,20,3,1,5,2,6,7,8,4,9,3,1,7,4,5,6,8,2,9,9,17,0,16,0,0,0,2,0,2,11,0,2,1,1,0,3,0,Tourism,Tourism,20.45,38.64,0,36.36,0,0,0,4.55,0,10,55,0,10,5,5,0,15,0
Iraq,92,47,22,#dc649b,0.021,0.77,21,16,3,1,4,2,5,6,7,8,9,4,1,3,2,5,6,7,9,8,4,8,1,8,0,0,0,0,0,0,12,1,3,0,0,0,0,0,Tourism,Tourism,19.05,38.1,4.76,38.1,0,0,0,0,0,0,75,6.25,18.75,0,0,0,0,0
Ukraine,91,68,23,#a35d97,0.26,0.33,48,20,1,2,6,4,7,8,9,3,5,5,1,3,6,4,7,8,2,9,15,13,0,5,0,0,0,13,2,1,11,2,1,2,0,0,3,0,Work,Tourism,31.25,27.08,0,10.42,0,0,0,27.08,4.17,5,55,10,5,10,0,0,15,0
New Zealand,90,83,24,#a35d97,0.07,0.54,320,21,3,2,6,1,7,8,9,4,5,2,1,4,3,5,6,7,8,9,40,114,0,129,0,0,0,33,4,7,8,2,4,0,0,0,0,0,Family,Tourism,12.5,35.62,0,40.31,0,0,0,10.31,1.25,33.33,38.1,9.52,19.05,0,0,0,0,0
Serbia,89,56,25,#e7aaca,0.24,0.4,37,17,3,1,5,2,6,7,8,4,9,1,2,3,4,5,6,7,9,8,10,12,0,12,0,0,0,3,0,10,5,2,0,0,0,0,0,0,Tourism,Work,27.03,32.43,0,32.43,0,0,0,8.11,0,58.82,29.41,11.76,0,0,0,0,0,0
Malaysia,88,82,26,#a098c4,0.019,0.68,229,18,3,1,5,2,7,8,9,4,6,2,1,3,4,5,6,7,8,9,30,89,11,69,0,0,0,29,1,6,7,3,2,0,0,0,0,0,Tourism,Tourism,13.1,38.86,4.8,30.13,0,0,0,12.66,0.44,33.33,38.89,16.67,11.11,0,0,0,0,0
